HouseholdId,PersonNumber,Age,Sex,License,TransitPass,EmploymentStatus,Occupation,FreeParking,StudentStatus,EmploymentZone,SchoolZone,ExpansionFactor
10330,1,28,M,Y,N,P,M,O,O,759.0,0.0,22.64210667487577
10330,2,23,F,Y,N,O,O,O,O,0.0,0.0,22.64210667487577
10330,3,21,M,Y,N,F,M,O,O,50.0,0.0,22.64210667487577
10330,4,19,M,Y,N,O,O,O,O,0.0,0.0,22.64210667487577
10330,5,9,M,N,N,O,O,O,S,0.0,757.0,22.64210667487577
10331,1,40,M,Y,N,P,M,O,O,759.0,0.0,18.945427827764085
10331,2,38,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10331,3,28,M,Y,N,P,M,O,O,758.0,0.0,18.945427827764085
10331,4,21,F,Y,N,F,M,O,O,757.0,0.0,18.945427827764085
10331,5,17,F,N,N,O,O,O,O,0.0,0.0,18.945427827764085
10332,1,58,M,Y,N,O,O,O,O,0.0,0.0,21.660348949499745
10332,2,31,F,Y,N,O,O,O,O,0.0,0.0,21.660348949499745
10332,3,29,M,Y,N,O,O,O,O,0.0,0.0,21.660348949499745
10332,4,11,M,N,N,O,O,O,S,0.0,757.0,21.660348949499745
10333,1,79,M,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10333,2,60,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10333,3,10,F,N,N,O,O,O,S,0.0,757.0,18.945427827764085
10334,1,53,M,Y,N,F,M,O,O,751.0,0.0,18.945427827764085
10334,2,49,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10334,3,25,M,Y,N,F,M,O,O,759.0,0.0,18.945427827764085
10334,4,24,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10334,5,20,F,Y,N,O,O,O,O,0.0,0.0,18.945427827764085
10335,1,88,F,Y,N,O,O,O,O,0.0,0.0,20.98161866906583
10335,2,28,M,Y,N,F,S,O,O,758.0,0.0,20.98161866906583
10335,3,28,F,Y,N,O,O,O,O,0.0,0.0,20.98161866906583
10336,1,77,F,Y,N,O,O,O,O,0.0,0.0,25.10711837361633
10336,2,48,M,Y,N,O,O,O,O,0.0,0.0,25.10711837361633
10336,3,47,F,Y,N,O,O,O,O,0.0,0.0,25.10711837361633
10336,4,25,M,Y,N,F,M,O,O,0.0,0.0,25.10711837361633
10336,5,23,M,Y,N,P,M,O,O,758.0,0.0,25.10711837361633
10336,6,18,M,Y,N,O,O,O,S,0.0,614.0,25.10711837361633
10336,7,18,F,Y,N,O,O,O,O,0.0,0.0,25.10711837361633
10337,1,50,M,Y,N,F,M,O,O,758.0,0.0,20.98161866906583
10337,2,50,F,Y,N,O,O,O,O,0.0,0.0,20.98161866906583
10337,3,30,M,Y,N,P,G,O,O,0.0,0.0,20.98161866906583
10337,4,27,F,Y,N,O,O,O,O,0.0,0.0,20.98161866906583
10338,1,54,F,Y,N,O,O,O,O,0.0,0.0,21.999714089716704
10338,2,22,M,Y,N,O,O,O,O,0.0,0.0,21.999714089716704
10338,3,19,M,Y,N,O,O,O,O,0.0,0.0,21.999714089716704
10339,1,57,M,Y,N,O,O,O,O,0.0,0.0,20.98161866906583
10339,2,56,F,Y,N,O,O,O,O,0.0,0.0,20.98161866906583
10339,3,22,F,Y,N,F,G,O,O,698.0,0.0,20.98161866906583
10340,1,33,M,Y,N,F,M,O,O,759.0,0.0,21.158678742222506
10340,2,26,F,Y,N,O,O,O,O,0.0,0.0,21.158678742222506
10340,3,8,F,N,N,O,O,O,S,0.0,759.0,21.158678742222506
10341,1,50,M,Y,N,P,M,O,O,0.0,0.0,224.94657176894862
10341,2,43,M,Y,N,P,M,O,O,556.0,0.0,224.94657176894862
10341,3,41,F,Y,N,P,P,O,O,423.0,0.0,224.94657176894862
10342,1,57,M,Y,N,F,P,O,O,443.0,0.0,205.14243654832217
10342,2,53,F,Y,N,P,P,O,O,0.0,0.0,205.14243654832217
10342,3,29,M,Y,N,O,O,O,S,0.0,553.0,205.14243654832217
10342,4,24,M,Y,N,F,S,O,O,12.0,0.0,205.14243654832217
10343,1,76,M,Y,N,O,O,O,O,0.0,0.0,205.14243654832217
10343,2,75,F,Y,N,O,O,O,O,0.0,0.0,205.14243654832217
10344,1,49,M,Y,N,F,M,O,O,0.0,0.0,1.0
10345,1,65,M,Y,N,P,G,O,O,758.0,0.0,33.49091283758483
10345,2,62,F,Y,N,O,O,O,O,0.0,0.0,33.49091283758483
10346,1,56,M,Y,N,F,S,O,O,751.0,0.0,22.025993533690485
10346,2,54,F,Y,N,O,O,O,O,0.0,0.0,22.025993533690485
