HouseholdId,HouseholdZone,ExpansionFactor,NumberOfPersons,DwellingType,Vehicles,IncomeClass,MACROZONA,MUNICIPIO,NumberOfFormalWorkers,NumberOfInformalWorkers,NumberOfLicenses,DistanceEmployment,DistanceSchool,ZONA,AREA,POBTOT,ZoneDensity
16137,176,100.88279391248614,6,1,2,4,62.0,Juárez,1,0,2,29.28794,1.96,176,0.626574,7575,12089.553668042403
16138,176,87.28899064021599,5,1,0,4,62.0,Juárez,2,0,3,21.9945,0.263854758,176,0.626574,7575,12089.553668042403
16139,176,76.05974619871148,5,1,0,4,62.0,Juárez,1,0,2,32.567,1.96,176,0.626574,7575,12089.553668042403
16140,176,111.5350143877176,3,1,1,4,62.0,Juárez,2,0,2,10.336,-1.0,176,0.626574,7575,12089.553668042403
16141,6,34.30256444749038,3,1,0,4,24.0,San Pedro Garza García,1,0,2,11.93878,-1.0,6,2.30674,25948,11248.775327952002
16142,180,75.19214453104557,5,1,0,2,62.0,Juárez,1,0,4,9.019,-1.0,180,0.648768,7519,11589.6591693795
16143,177,84.29232202300801,3,1,1,4,62.0,Juárez,1,0,2,33.224,1.693,177,0.31771,3175,9993.390198608795
16144,177,108.35289501304966,4,1,1,4,62.0,Juárez,0,2,3,21.08578,-1.0,177,0.31771,3175,9993.390198608795
16145,6,1.0,1,1,0,2,24.0,San Pedro Garza García,0,0,1,-1.0,-1.0,6,2.30674,25948,11248.775327952002
16146,6,51.5551622624307,3,1,1,4,24.0,San Pedro Garza García,0,1,2,10.33488,-1.0,6,2.30674,25948,11248.775327952002
16147,422,120.7134224003658,4,1,2,6,11.0,Monterrey,1,0,3,6.222082,10.13237,422,2.55241,11577,4535.713306247821
16148,180,98.38602911331424,4,1,0,4,62.0,Juárez,1,0,2,2.876,0.532,180,0.648768,7519,11589.6591693795
16149,180,77.3900687557992,3,1,0,3,62.0,Juárez,2,0,3,18.802,38.383,180,0.648768,7519,11589.6591693795
16150,180,72.16999872200932,3,1,1,4,62.0,Juárez,1,0,2,9.549,0.268487119,180,0.648768,7519,11589.6591693795
16151,180,70.80477305561506,6,1,0,4,62.0,Juárez,1,0,3,44.684,1.1507435595,180,0.648768,7519,11589.6591693795
16152,180,76.38121545250773,7,1,0,4,62.0,Juárez,4,0,6,27.296666666666667,0.532,180,0.648768,7519,11589.6591693795
16153,6,51.5551622624307,1,1,1,4,24.0,San Pedro Garza García,1,0,1,15.35353,-1.0,6,2.30674,25948,11248.775327952002
16154,180,72.5314994168701,3,1,0,4,62.0,Juárez,2,0,3,25.123,-1.0,180,0.648768,7519,11589.6591693795
16155,6,1.0,3,1,2,5,24.0,San Pedro Garza García,1,0,2,-1.0,-1.0,6,2.30674,25948,11248.775327952002
16156,6,51.5551622624307,4,1,1,4,24.0,San Pedro Garza García,1,0,2,11.01701,-1.0,6,2.30674,25948,11248.775327952002
16157,6,37.63150530104431,3,1,1,3,24.0,San Pedro Garza García,0,1,2,11.01701,-1.0,6,2.30674,25948,11248.775327952002
16158,180,70.95053637801223,3,1,1,4,62.0,Juárez,0,2,2,31.482,1.825,180,0.648768,7519,11589.6591693795
16159,180,75.19214453104557,3,1,0,2,62.0,Juárez,1,0,2,39.237,-1.0,180,0.648768,7519,11589.6591693795
16160,180,68.30917130089601,6,1,1,4,62.0,Juárez,1,0,4,34.286,4.1515,180,0.648768,7519,11589.6591693795
16161,180,82.71135898415012,2,1,0,2,62.0,Juárez,0,0,2,-1.0,-1.0,180,0.648768,7519,11589.6591693795
16162,180,67.09452896616375,3,1,0,3,62.0,Juárez,1,0,2,5.997,1.825,180,0.648768,7519,11589.6591693795
16163,180,75.19214453104557,3,1,1,3,62.0,Juárez,0,1,2,30.286,-1.0,180,0.648768,7519,11589.6591693795
16164,180,75.65486542046739,6,1,0,4,62.0,Juárez,2,1,4,4.407,4.076666666666667,180,0.648768,7519,11589.6591693795
16165,180,74.97235210857022,4,1,1,4,62.0,Juárez,1,0,2,39.237,18.849500000000003,180,0.648768,7519,11589.6591693795
16166,180,66.87762854924726,4,1,2,5,62.0,Juárez,1,2,3,4.1515,33.03,180,0.648768,7519,11589.6591693795
16167,180,107.85895398842204,7,1,1,4,62.0,Juárez,2,0,4,2.876,3.723,180,0.648768,7519,11589.6591693795
16168,180,91.13432517440668,5,1,1,4,62.0,Juárez,1,0,2,-1.0,25.56507333333333,180,0.648768,7519,11589.6591693795
16169,180,68.30917130089601,6,1,1,4,62.0,Juárez,1,0,4,27.19,4.1515,180,0.648768,7519,11589.6591693795
16170,180,68.54053174560693,4,1,0,3,62.0,Juárez,2,0,2,19.847,1.825,180,0.648768,7519,11589.6591693795
16171,706,143.48101546280657,3,1,2,6,31.0,General Escobedo,2,0,3,14.225898,-1.0,706,0.546176,2155,3945.614600421842
16172,6,37.63150530104431,2,1,1,4,24.0,San Pedro Garza García,0,1,2,6.363,-1.0,6,2.30674,25948,11248.775327952002
16173,6,1.0,1,1,1,4,24.0,San Pedro Garza García,1,0,1,-1.0,-1.0,6,2.30674,25948,11248.775327952002
16174,176,95.72355747935292,3,1,0,4,62.0,Juárez,2,0,2,32.89,0.263854758,176,0.626574,7575,12089.553668042403
16175,176,122.26851547035804,5,1,0,4,62.0,Juárez,3,0,5,9.174666666666669,-1.0,176,0.626574,7575,12089.553668042403
