HouseholdId,PersonNumber,TripNumber,StartTime,Mode,PuposeOrigin,ZoneOrigin,PurposeDestination,ZoneDestination
86,1,1,600,O,H,538,W,281
86,1,2,1700,O,W,281,H,538
86,2,1,800,W,H,538,F,538
86,2,2,835,W,F,538,H,538
86,2,3,850,W,H,538,F,538
86,2,4,900,W,F,538,H,538
86,2,5,1020,W,H,538,M,538
86,2,6,1040,W,M,538,H,538
86,2,7,1155,W,H,538,F,538
86,2,8,1205,W,F,538,H,538
86,2,9,1430,W,H,538,F,538
86,2,10,1435,W,F,538,H,538
86,3,1,800,W,H,538,S,538
86,3,2,1430,W,S,538,H,538
87,1,1,500,B,H,538,W,314
87,1,2,2200,B,W,314,H,538
87,4,1,800,O,H,538,W,265
87,4,2,1600,O,W,265,H,538
88,3,1,700,B,H,538,S,314
88,3,2,1330,B,S,314,H,538
89,1,1,1200,B,H,538,M,532
89,1,2,1600,T,M,532,H,538
89,3,1,630,O,H,538,W,296
89,3,2,1700,O,W,296,H,538
90,1,1,1030,W,H,538,M,538
90,1,2,1100,W,M,538,H,538
90,2,1,630,B,H,538,S,538
90,2,2,1245,B,S,538,H,538
92,1,1,730,W,H,538,W,538
92,1,2,1800,W,W,538,H,538
92,2,1,500,O,H,538,W,299
92,2,2,1330,O,W,299,H,538
93,1,1,1000,D,H,538,M,281
93,1,2,1600,D,M,281,H,538
94,1,1,800,W,H,538,W,535
94,1,2,1830,W,W,535,H,538
94,2,1,1300,W,H,538,M,538
94,2,2,1320,W,M,538,H,538
94,3,1,715,W,H,538,S,538
94,3,2,1240,W,S,538,H,538
94,4,1,1200,S,H,538,S,535
94,4,2,1730,S,S,535,H,538
95,1,1,600,O,H,538,W,270
95,1,2,1400,O,W,270,H,538
96,1,1,730,W,H,538,W,533
96,1,2,1700,W,W,533,H,538
97,1,1,730,B,H,538,W,535
97,1,2,1600,B,W,535,H,538
97,3,1,800,S,H,538,S,535
97,3,2,1430,S,S,535,H,538
98,1,1,1400,B,H,538,O,535
98,1,2,1600,B,O,535,H,538
99,1,1,1400,P,H,538,F,700
99,1,2,1600,P,F,700,H,538
99,2,1,800,B,H,538,W,532
99,2,2,1800,B,W,532,H,538
100,1,1,1100,B,H,538,E,242
100,1,2,1600,B,E,242,H,538
100,3,1,1800,B,H,538,F,281
100,3,2,2000,B,F,281,H,538
101,1,1,1200,B,H,538,F,275
101,1,2,1600,B,F,275,H,538
101,2,1,1930,B,H,538,W,10
101,4,1,600,O,H,538,W,296
101,4,2,1900,O,W,296,H,538
101,5,1,2100,O,H,538,W,296
102,1,1,1300,D,H,538,O,281
102,1,2,2100,D,O,281,H,538
103,1,1,720,D,H,538,W,281
103,1,2,1700,D,W,281,H,538
103,3,1,600,B,H,538,W,281
103,3,2,1900,B,W,281,H,538
103,4,1,730,B,H,538,W,269
103,4,2,1700,B,W,269,H,538
103,5,1,800,W,H,538,S,538
103,5,2,1430,W,S,538,H,538
104,1,1,600,B,H,538,O,573
104,1,2,1100,B,O,573,H,538
104,2,1,600,B,H,538,F,573
104,2,2,1100,B,F,573,H,538
105,2,1,430,B,H,538,W,281
105,2,2,1430,B,W,281,H,538
106,1,1,1620,O,H,538,W,270
106,1,2,500,O,W,270,H,538
107,2,1,600,O,H,538,W,296
107,2,2,1700,O,W,296,H,538
108,2,1,800,W,H,538,W,538
108,2,2,2000,W,W,538,H,538
109,1,1,1020,W,H,538,M,538
109,1,2,1030,W,M,538,H,538
110,1,1,800,D,H,538,W,531
110,1,2,1800,D,W,531,H,538
112,1,1,540,W,H,83,E,83
112,1,2,720,W,E,83,H,83
112,2,1,540,W,H,83,O,83
112,2,2,720,W,O,83,H,83
113,1,1,550,W,H,79,W,83
113,1,2,1800,W,W,83,H,79
114,1,1,530,W,H,83,W,83
114,1,2,1800,W,W,83,H,83
115,1,1,1200,D,H,83,O,758
115,1,2,1430,D,O,758,H,83
115,3,1,1100,W,H,83,E,80
115,3,2,1210,W,E,80,H,83
116,1,1,1020,W,H,650,M,674
116,1,2,1130,W,M,674,H,650
116,2,1,905,W,H,650,W,674
116,2,2,2105,W,W,674,H,650
117,1,1,730,D,H,634,F,674
117,1,2,745,D,F,674,H,634
117,1,3,1320,D,H,634,F,674
117,1,4,1325,D,F,674,H,634
117,2,1,800,D,H,634,W,555
117,2,2,1300,D,W,555,E,617
117,2,3,1530,D,E,617,H,634
118,2,1,1030,W,H,83,M,79
118,2,2,1110,W,M,79,H,83
119,2,1,830,D,H,79,W,757
119,2,2,1530,D,W,757,H,79
120,1,1,700,B,H,385,O,327
120,1,2,930,O,O,327,H,385
120,2,1,900,W,H,385,O,385
120,2,2,1030,W,O,385,H,385
120,3,1,645,B,H,385,W,156
120,3,2,2100,B,W,156,H,385
120,4,1,720,S,H,385,S,381
120,4,2,1230,S,S,381,H,385
121,1,1,1100,C,H,385,W,385
121,1,2,1900,C,W,385,H,385
121,2,1,600,B,H,385,W,99
121,2,2,1530,B,W,99,H,385
122,1,1,1000,P,H,385,W,385
122,1,2,1800,P,W,385,H,385
123,1,1,700,W,H,385,W,385
123,1,2,1330,W,W,385,H,385
124,1,1,800,W,H,385,W,385
124,1,2,1720,W,W,385,H,385
124,2,1,800,D,H,385,W,381
124,2,2,1600,D,W,381,H,385
124,3,1,700,O,H,385,W,385
124,3,2,2000,O,W,385,H,385
125,2,1,1300,B,H,385,W,156
125,2,2,2200,B,W,156,H,385
125,3,1,1630,B,H,385,S,153
125,3,2,2100,W,S,153,H,385
126,1,1,1200,W,H,385,W,160
126,1,2,2200,W,W,160,H,385
126,2,1,800,T,H,385,W,160
126,2,2,1900,T,W,160,H,385
126,3,1,800,W,H,385,S,385
126,3,2,1230,W,S,385,H,385
127,2,1,800,D,H,385,W,379
127,2,2,1700,D,W,379,H,385
127,3,1,615,O,H,385,S,154
127,3,2,1230,W,S,154,H,385
127,4,1,745,W,H,385,S,385
127,4,2,1420,W,S,385,H,385
128,1,1,2100,W,H,385,E,381
128,1,2,2200,W,E,381,H,385
129,1,1,800,P,H,385,W,160
129,1,2,1700,P,W,160,H,385
131,1,1,700,D,H,83,W,710
131,1,2,1700,D,W,710,H,83
132,1,1,600,D,H,83,W,361
132,1,2,1900,D,W,361,H,83
133,1,1,630,D,H,83,W,622
133,1,2,1500,D,W,622,H,83
133,2,1,1430,W,H,83,O,79
133,2,2,1500,W,O,79,H,83
134,1,1,825,W,H,154,M,151
134,1,2,825,W,M,151,H,154
135,1,1,1000,D,H,83,E,506
135,1,2,1800,D,E,506,H,83
135,2,1,1000,P,H,83,E,506
135,2,2,1800,P,E,506,H,83
135,3,1,1000,P,H,83,E,506
135,3,2,1800,P,E,506,H,83
135,4,1,1000,P,H,83,E,506
135,4,2,1800,P,E,506,H,83
136,1,1,1830,W,H,83,E,79
136,1,2,2000,W,E,79,H,83
136,2,1,1830,W,H,83,E,79
136,2,2,2000,W,E,79,H,83
136,3,1,1830,W,H,83,E,79
136,3,2,2000,W,E,79,H,83
138,1,1,600,O,H,83,W,268
138,1,2,1400,D,W,268,H,83
139,1,1,650,W,H,83,W,83
139,1,2,1900,W,W,83,H,83
140,2,1,730,D,H,151,W,160
140,2,2,1600,D,W,160,H,151
140,3,1,930,D,H,151,W,160
140,3,2,2000,D,W,160,H,151
141,1,1,1410,P,H,150,M,156
141,1,2,1510,P,M,156,H,150
141,2,1,1000,M,H,150,W,325
141,2,2,1800,M,W,325,H,150
141,3,1,1410,D,H,150,F,156
141,3,2,1510,D,F,156,H,150
142,1,1,1330,W,H,151,E,156
142,1,2,1700,W,E,156,H,151
142,2,1,1300,W,H,151,E,156
142,2,2,1700,W,E,156,H,151
143,1,1,955,W,H,150,W,629
143,1,2,1900,W,W,629,H,150
144,1,1,1450,W,H,150,E,151
144,1,2,1620,W,E,151,H,150
146,1,1,845,W,H,82,W,83
146,1,2,1500,W,W,83,H,82
146,2,1,530,O,H,82,W,758
146,2,2,1830,O,W,758,H,82
146,3,1,745,W,H,82,S,83
146,3,2,1400,W,S,83,H,82
147,1,1,815,W,H,82,W,79
147,1,2,1400,W,W,79,H,82
147,2,1,630,W,H,82,W,758
147,2,2,1600,W,W,758,H,82
148,1,1,1050,W,H,82,M,76
148,1,2,1200,W,M,76,H,82
149,1,1,750,W,H,82,M,76
149,1,2,900,W,M,76,H,82
150,1,1,830,C,H,538,W,535
150,1,2,2030,C,W,535,H,538
150,2,1,1500,W,H,538,O,535
150,2,2,1630,W,O,535,H,538
150,3,1,730,W,H,538,W,533
150,3,2,1500,W,W,533,H,538
150,4,1,1230,S,H,538,S,535
150,4,2,1730,S,S,535,H,538
150,5,1,1530,W,H,538,O,535
150,5,2,1630,W,O,535,H,538
150,6,1,1230,S,H,538,S,535
150,6,2,1730,S,S,535,H,538
151,1,1,800,B,H,538,W,296
151,1,2,1600,B,W,296,H,538
152,1,1,900,W,H,538,M,538
